country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier
gbr,debt,https://api.economicsobservatory.com/gbr/debt,https://api.ons.gov.uk/timeseries/HF6X/dataset/PUSF/data,HF6X,PUSF,Debt,"Public sector net debt, % GDP | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/HF6X/dataset/PUSF/data,ONS,UK Office for National Statistics,"PS, Net Debt as a % of GDP, NSA",% of GDP,months.date,months.value,1
gbr,infl,https://api.economicsobservatory.com/gbr/infl,https://api.ons.gov.uk/timeseries/L55O/dataset/MM23/data,L55O,MM23,Inflation,"All items, % | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/L55O/dataset/MM23/data,ONS,UK Office for National Statistics,"CPIH annual rate, All items, 2015=100",%,months.date,months.value,1
gbr,grow,https://api.economicsobservatory.com/gbr/grow,https://api.ons.gov.uk/timeseries/IHYR/dataset/QNA/data,IHYR,QNA,Growth,"Volume measure, % | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/IHYR/dataset/QNA/data,ONS,UK Office for National Statistics,"Gross Domestic Product, QoQ4 growth rate, CVM SA",%,quarters.date,quarters.value,1
gbr,unem,https://api.economicsobservatory.com/gbr/unem,https://api.ons.gov.uk/timeseries/MGSX/dataset/LMS/data,MGSX,LMS,Unemployment,"Ages 16 and over, % | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/MGSX/dataset/LMS/data,ONS,UK Office for National Statistics,"Unemployment rate, ages 16 and over, seasonally adjusted",%,months.date,months.value,1
gbr,empl,https://api.economicsobservatory.com/gbr/empl,https://api.ons.gov.uk/timeseries/MGSR/dataset/LMS/data,MGSR,LMS,Employment rate,"Ages 16 and over, % | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/MGSR/dataset/LMS/data,ONS,UK Office for National Statistics,,%,months.date,months.value,1
gbr,empd,https://api.economicsobservatory.com/gbr/empd,https://api.ons.gov.uk/timeseries/MGRZ/dataset/LMS/data,MGRZ,LMS,Employed,"Ages 16 and over, thousands | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/MGRZ/dataset/LMS/data,ONS,UK Office for National Statistics,,thousands,months.date,months.value,1
gbr,expo,https://api.economicsobservatory.com/gbr/expo,https://api.ons.gov.uk/timeseries/LQAD/dataset/UKEA/data,LQAD,UKEA,Exports,"Goods, £ million GBP | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LQAD/dataset/UKEA/data,ONS,UK Office for National Statistics,"Trade in Goods, T, WW, Exports, BOP, CP, NSA",£ million,quarters.date,quarters.value,1
gbr,impo,https://api.economicsobservatory.com/gbr/impo,https://api.ons.gov.uk/timeseries/LQBL/dataset/UKEA/data,LQBL,UKEA,Imports,"Goods, £ million GBP | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LQBL/dataset/UKEA/data,ONS,UK Office for National Statistics,"Trade in Goods, T, WW, Imports, BOP, CP, NSA",£ million,quarters.date,quarters.value,1
gbr,prod,https://api.economicsobservatory.com/gbr/prod,https://api.ons.gov.uk/timeseries/LZVB/dataset/PRDY/data,LZVB,PRDY,Productivity,"Output per hour, Index, base year = 100 | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LZVB/dataset/PRDY/data,ONS,UK Office for National Statistics,"Output per hour worked SA, UK Whole Economy, Index 2019 = 100","Index, base year = 100",quarters.date,quarters.value,1
gbr,inac,https://api.economicsobservatory.com/gbr/inac,https://api.ons.gov.uk/timeseries/LF4T/dataset/LMS/data,LF4T,LMS,Inactivity,"Age 16-64, % workforce | Source: ONS through ECO API",https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LF4T/dataset/LMS/data,ONS,UK Office for National Statistics,"LFS, Economic inactivity rate, Aged 16-64, GB, All, SA",%,months.date,months.value,1
