country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier
gbr,unem,https://api.economicsobservatory.com/gbr/unem,https://api.ons.gov.uk/timeseries/MGSX/dataset/LMS/data,MGSX,LMS,Unemployment,Ages 16 and over - %,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/MGSX/dataset/LMS/data,ONS,UK Office for National Statistics,"Unemployment rate, ages 16 and over, seasonally adjusted",%,months.date,months.value,1
gbr,infl,https://api.economicsobservatory.com/gbr/infl,https://api.ons.gov.uk/timeseries/L55O/dataset/MM23/data,L55O,MM23,Inflation,All items,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/L55O/dataset/MM23/data,ONS,UK Office for National Statistics,"CPIH annual rate, All items, 2015=100",%,months.date,months.value,1
gbr,grow,https://api.economicsobservatory.com/gbr/grow,https://api.ons.gov.uk/timeseries/IHYR/dataset/QNA/data,IHYR,QNA,Growth,Volume measure,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/IHYR/dataset/QNA/data,ONS,UK Office for National Statistics,"Gross Domestic Product, QoQ4 growth rate, CVM SA",%,quarters.date,quarters.value,1
gbr,prod,https://api.economicsobservatory.com/gbr/prod,https://api.ons.gov.uk/timeseries/LZVB/dataset/PRDY/data,LZVB,PRDY,Productivity,Output per hour,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LZVB/dataset/PRDY/data,ONS,UK Office for National Statistics,"Output per hour worked SA, UK Whole Economy, Index 2019 = 100","Index, base year = 100",quarters.date,quarters.value,1
gbr,inac,https://api.economicsobservatory.com/gbr/inac,https://api.ons.gov.uk/timeseries/LF4T/dataset/LMS/data,LF4T,LMS,Inactivity,Age 16-64 - % workforce,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LF4T/dataset/LMS/data,ONS,UK Office for National Statistics,"LFS, Economic inactivity rate, Aged 16-64, GB, All, SA",%,months.date,months.value,1
gbr,debt,https://api.economicsobservatory.com/gbr/debt,https://api.ons.gov.uk/timeseries/HF6X/dataset/PUSF/data,HF6X,PUSF,Debt,Public Sector Net Debt - % GDP,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/HF6X/dataset/PUSF/data,ONS,UK Office for National Statistics,"PS, Net Debt as a % of GDP, NSA",%,months.date,months.value,1
gbr,redu,https://api.economicsobservatory.com/gbr/redu,https://api.ons.gov.uk/timeseries/BEAO/dataset/LMS/data,BEAO,LMS,Redundancies,UK - thousands,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/BEAO/dataset/LMS/data,ONS,UK Office for National Statistics,"LFS, ILO redundancy level, UK, All, SA",thousands,months.date,months.value,1
gbr,long,https://api.economicsobservatory.com/gbr/long,https://api.ons.gov.uk/timeseries/LWZV/dataset/LMS/data,LWZV,LMS,Long weeks,45+ hours work - % employees,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LWZV/dataset/LMS/data,ONS,UK Office for National Statistics,"Usual weekly hours of work, Employees over 45 hrs, UK, All, SA",%,months.date,months.value,1
gbr,expo,https://api.economicsobservatory.com/gbr/expo,https://api.ons.gov.uk/timeseries/LQAD/dataset/UKEA/data,LQAD,UKEA,Exports,Goods - GBP million,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LQAD/dataset/UKEA/data,ONS,UK Office for National Statistics,"Trade in Goods, T, WW, Exports, BOP, CP, NSA",£ million,quarters.date,quarters.value,1
gbr,impo,https://api.economicsobservatory.com/gbr/impo,https://api.ons.gov.uk/timeseries/LQBL/dataset/UKEA/data,LQBL,UKEA,Imports,Goods - GBP million,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/LQBL/dataset/UKEA/data,ONS,UK Office for National Statistics,"Trade in Goods, T, WW, Imports, BOP, CP, NSA",£ million,quarters.date,quarters.value,1
gbr,army,https://api.economicsobservatory.com/gbr/army,https://api.ons.gov.uk/timeseries/C9LL/dataset/PSE/data,C9LL,PSE,Army-Navy-Air Force,Employment - thousands,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/C9LL/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, HM Forces, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,psem,https://api.economicsobservatory.com/gbr/psem,https://api.ons.gov.uk/timeseries/G7G3/dataset/PSE/data,G7G3,PSE,Public Sector,Employment - thousands,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/G7G3/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, Total Public Sector, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,poem,https://api.economicsobservatory.com/gbr/poem,https://api.ons.gov.uk/timeseries/C9LM/dataset/PSE/data,C9LM,PSE,Police,Employment - thousands,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/C9LM/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, Police, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
gbr,teem,https://api.economicsobservatory.com/gbr/teem,https://api.ons.gov.uk/timeseries/G7GI/dataset/PSE/data,G7GI,PSE,Teachers,Employment - thousands,https://api.ons.gov.uk/timeseries/{SERIES}/dataset/{DATASET}/data,https://api.ons.gov.uk/timeseries/G7GI/dataset/PSE/data,ONS,UK Office for National Statistics,"Public Sector Employment by Industry, Education, UK, FTE, NSA, Thousands",thousands,quarters.date,quarters.value,1
usa,unem,https://api.economicsobservatory.com/usa/unem,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=UNRATE,UNRATE,,Unemployment,Ages 16 and over - %,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=UNRATE,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
usa,infl,https://api.economicsobservatory.com/usa/infl,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPIAUCSL,CPIAUCSL,,Inflation,CPI all urban consumers,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPIAUCSL,FRED,US Federal Reserve Economic Data,,%,observations.date,observations.value,1
