country,sortID,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier
aus,3,infl,https://api.economicsobservatory.com/aus/infl,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=jsondata,3.10001.10.50.Q,CPI,Inflation,CPI all | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,%,TIME_PERIOD,OBS_VALUE,1
aus,7,empd,https://api.economicsobservatory.com/aus/empd,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=jsondata,M9.AUS.TOTAL.A,ABS_LABOUR_ACCT,Employed,Total jobs all industries | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,10,prod,https://api.economicsobservatory.com/aus/prod,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=jsondata,M5.GVA_MKT_PHW.10.AUS.Q,ANA_AGG,Productivity,$ AUD / hour | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,$ AUD / hour,TIME_PERIOD,OBS_VALUE,1
aus,11,inac,https://api.economicsobservatory.com/aus/inac,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=jsondata,M26.AUS.TOTAL.A,ABS_LABOUR_ACCT,Inactivity,% | Source: ABS through ECO API,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=jsondata,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=jsondata,ABS,Australian Bureau of Statistics,,%,TIME_PERIOD,OBS_VALUE,1
ken,3,infl,https://api.economicsobservatory.com/ken/infl,https://kenya.opendataforafrica.org/api/2.0/data?datasetId=bwopdtc&indicator=I1,,,Inflation,Consumer Price Index | Source: KBS through ECO API,https://kenya.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://kenya.opendataforafrica.org/api/2.0/data?datasetId=bwopdtc&indicator=I1,KBS,Kenya National Bureau of Statistics,,Index,,data.values,1
ken,8,expo,https://api.economicsobservatory.com/ken/expo,https://kenya.opendataforafrica.org/api/2.0/data?datasetId=offumx&timerange=1970M1-2025M12&indicator=I1,,,Exports,million KSH | Source: KBS through ECO API,https://kenya.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://kenya.opendataforafrica.org/api/2.0/data?datasetId=offumx&timerange=1970M1-2025M12&indicator=I1,KBS,Kenya National Bureau of Statistics,,million KSH,,data.values,1
ken,9,impo,https://api.economicsobservatory.com/ken/impo,https://kenya.opendataforafrica.org/api/2.0/data?datasetId=helbnag&country=C64,,,Imports,million KSH | Source: KBS through ECO API,https://kenya.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://kenya.opendataforafrica.org/api/2.0/data?datasetId=helbnag&country=C64,KBS,Kenya National Bureau of Statistics,,million KSH,,data.values,1
nga,3,infl,https://api.economicsobservatory.com/nga/infl,https://nigeria.opendataforafrica.org//api/2.0/data?datasetId=NGNBSNCPIR2017&timerange=1970M1-2025M12&location=NG&item=KN.I1&indicator=KN.N1&measure=KN.M8,,,Inflation,% | Source: NBS through ECO API,https://nigeria.opendataforafrica.org//api/2.0/data?datasetId={x}&timerange=2008M1-2018M12&location=NG&item=KN.I1&indicator=KN.N1&measure=KN.M8,https://nigeria.opendataforafrica.org//api/2.0/data?datasetId=NGNBSNCPIR2017&timerange=1970M1-2025M12&location=NG&item=KN.I1&indicator=KN.N1&measure=KN.M8,NBS,Nigerian Bureau of Statistics,,%,data.Time,data.Value,1
nga,13,popu,https://api.economicsobservatory.com/nga/popu,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=seujnx&indicator=99Z...F...{Z},,,Population,people | Source: NBS through ECO API,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=seujnx&indicator=99Z...F...{Z},NBS,Nigerian Bureau of Statistics,,people,data.Time,data.Value,1
nga,5,unem,https://api.economicsobservatory.com/nga/unem,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=bgzgbcg&timerange=1970-2025&frequency=A&state=NG&indicator=6201019,,,Unemployment,% | Source: NBS through ECO API,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=bgzgbcg&timerange=1970-2025&frequency=A&state=NG&indicator=6201019,NBS,Nigerian Bureau of Statistics,,%,data.Time,data.Value,1
nga,4,grow,https://api.economicsobservatory.com/nga/grow,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=sxyxbgb&indicator=KN.A4,,,Growth,% | Source: NBS through ECO API,https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId={y}&indicator={x},https://nso-nigeria.opendataforafrica.org/api/2.0/data?datasetId=sxyxbgb&indicator=KN.A4,NBS,Nigerian Bureau of Statistics,,%,data.Time,data.Value,1
jpn,5,unem,https://api.economicsobservatory.com/jpn/unem,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0301010000020020010&RegionalRank=2,,,Unemployment,% | Source: SBJ through ECO API,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode={x}&RegionalRank=2,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0301010000020020010&RegionalRank=2,SBJ,Statistics Bureau of Japan,,%,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.@time,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.$,1
jpn,6,empl,https://api.economicsobservatory.com/jpn/empl,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0301010000010020000&RegionalRank=2,,,Employment rate,% | Source: SBJ through ECO API,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode={x}&RegionalRank=3,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0301010000010020000&RegionalRank=2,SBJ,Statistics Bureau of Japan,,%,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.@time,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.$,1
jpn,7,empd,https://api.economicsobservatory.com/jpn/empd,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0301010000010010010&RegionalRank=2,,,Employed,thousands | Source: SBJ through ECO API,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode={x}&RegionalRank=4,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0301010000010010010&RegionalRank=2,SBJ,Statistics Bureau of Japan,,thousands,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.@time,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.$,1
jpn,13,popu,https://api.economicsobservatory.com/jpn/popu,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0201010000000010000&RegionalRank=2,,,Population,people | Source: SBJ through ECO API,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode={x}&RegionalRank=5,https://dashboard.e-stat.go.jp/api/1.0/Json/getData?Lang=EN&IndicatorCode=0201010000000010000&RegionalRank=2,SBJ,Statistics Bureau of Japan,,people,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.@time,GET_STATS.STATISTICAL_DATA.DATA_INF.DATA_OBJ.VALUE.$,1
